Nombre del artículo,ID del artículo,ingresos 
MESTIZA DE OLLANTAYTAMBO,pri-a4-fab,5
3 UKUKUS,pri-a4-fab,10
TINKUS,pri-a4-fab,10
MAJEÑO,pri-a4-fab,1
MESTIZA QOLLACHA AZUL,pri-a4-fab,0
CUCASARU AZUL,pri-a4-fab,1
KACHAMPA FUCSIA,pri-a4-fab,5
MESTIZA QOLLACHA FUCSIA,pri-a4-fab,10
UKUKUS AZUL,pri-a4-fab,5
CUCASARU AMARILLO,pri-a4-fab,5
QHAPAQ QOLLA 3D,pri-a4-fab,5
QHAPAQ QOLLA,pri-a4-fab,1
MAJEÑO PLOMO,pri-a4-fab,1
UKUKU PLOMO,pri-a4-fab,1
QHAPAQ QOLLA 3D,pri-a4-fab,5
MAJEÑO 3D,pri-a4-fab,5
UKUKU 3D,pri-a4-fab,5
LA DOLOROSA,pri-a4-fab,5
LA INMACULADA,pri-a4-fab,10
MONALISA MESTIZA,pri-a4-fab,10
MAGNOLIA,pri-a4-fab,14
MESTIZA,pri-a4-fab,1
ESTRELLAS Y TEJIDOS,pri-a4-fab,0
KUYAY,pri-a4-fab,0
AMARRAR LAS ESTRELLAS ,pri-a4-fab,10
EL SUEÑO DEL CARMEN DANZAQ,pri-a4-fab,1
LA DIVERSIDAD NOS HACE HUMANOS,pri-a4-fab,0
CONSTELACIONES OSCURAS,pri-a4-fab,0
SIEMBRA DE MAIZ,pri-a4-fab,10
PESCA NIÑOS,pri-a4-fab,5
TINKADA,pri-a4-fab,5
YUNTA,pri-a4-fab,5
TEJIDO INCA ROJO Y AZUL,pri-a4-fab,1
YUNZA,pri-a4-fab,10
COLONIAL PALOMAS,pri-a4-fab,1
PESCA NOCHE,pri-a4-fab,5